time,exp1_s1,exp1_s1_Distorted
1.80904522613065,2,2
1.80904522613065,4,4
1.80904522613065,2,2
1.80904522613065,1,1
1.80904522613065,2,2
2.01005025125628,3,2
2.01005025125628,1,1
2.01005025125628,1,1
2.01005025125628,6,5
2.01005025125628,1,1
2.01005025125628,2,2
2.01005025125628,4,3
2.01005025125628,6,6
2.01005025125628,2,1
2.01005025125628,0,0
2.21105527638191,0,0
2.21105527638191,2,2
2.21105527638191,2,1
2.21105527638191,5,5
2.21105527638191,3,3
2.21105527638191,2,2
2.21105527638191,2,2
2.21105527638191,1,1
2.21105527638191,5,5
2.21105527638191,2,2
2.41206030150754,0,0
2.41206030150754,3,3
2.41206030150754,2,1
2.41206030150754,0,0
2.41206030150754,4,4
2.41206030150754,1,1
2.41206030150754,1,1
2.41206030150754,0,0
2.41206030150754,1,0
2.41206030150754,1,1
2.61306532663317,3,3
2.61306532663317,0,0
2.61306532663317,1,1
2.61306532663317,1,1
2.61306532663317,4,4
2.61306532663317,2,2
2.61306532663317,3,3
2.61306532663317,3,3
2.61306532663317,3,3
2.61306532663317,1,1
2.81407035175879,6,5
2.81407035175879,4,4
2.81407035175879,0,0
2.81407035175879,2,2
2.81407035175879,2,2
2.81407035175879,3,3
2.81407035175879,1,1
2.81407035175879,3,3
2.81407035175879,3,3
2.81407035175879,3,3
3.01507537688442,2,2
3.01507537688442,0,0
3.01507537688442,2,2
3.01507537688442,2,2
3.01507537688442,1,1
3.01507537688442,2,2
3.01507537688442,2,2
3.01507537688442,3,3
3.01507537688442,4,4
3.01507537688442,3,2
3.21608040201005,5,4
3.21608040201005,0,0
3.21608040201005,1,1
3.21608040201005,2,1
3.21608040201005,6,5
3.21608040201005,4,2
3.21608040201005,2,2
3.21608040201005,2,2
3.21608040201005,0,0
3.21608040201005,4,4
3.41708542713568,3,3
3.41708542713568,1,1
3.41708542713568,2,2
3.41708542713568,1,1
3.41708542713568,4,3
3.41708542713568,2,2
3.41708542713568,6,6
3.41708542713568,0,0
3.41708542713568,4,4
3.41708542713568,3,3
3.61809045226131,3,3
3.61809045226131,4,4
3.61809045226131,4,3
3.61809045226131,1,1
3.61809045226131,5,4
3.61809045226131,0,0
3.61809045226131,2,2
3.61809045226131,1,1
3.61809045226131,6,5
3.61809045226131,1,1
3.81909547738693,3,3
3.81909547738693,4,3
3.81909547738693,4,4
3.81909547738693,5,5
3.81909547738693,1,0
3.81909547738693,5,5
3.81909547738693,3,3
3.81909547738693,4,4
3.81909547738693,2,2
3.81909547738693,3,3
4.02010050251256,4,4
